Année,Classement,Temps,Nom,Nationnalité,Sexe,Catégory,Index
2023,174,30:21:21,Adrian BUSOLINI,United Kingdom,Men,35-39,713
2023,175,30:23:18,Dave WARD,United Kingdom,Men,40-44,678
2023,176,30:27:25,Patrick GIESCHKE,Switzerland,Men,45-49,710
2023,177,30:29:10,Hector FUENTES RIVERA,El Salvador,Men,40-44,699
2023,178,30:31:06,Eric MOUGIN,France,Men,50-54,701
2023,179,30:31:24,Philip HOWLAND,United States,Men,50-54,619
2023,180,30:33:06,Damien COCHET,France,Men,35-39,706
2023,181,30:36:08,Guillaume QUERE,France,Men,35-39,636
2023,182,30:37:42,Daniel SANTOS,Portugal,Men,45-49,678
2023,183,30:39:20,Romain DEMARE,France,Men,35-39,633
2023,184,30:40:35,Daniel MASSAT,France,Men,45-49,695
2023,185,30:41:51,Pierre MARRON,France,Men,40-44,637
2023,186,30:42:53,Ka Kit WONG,"Hong Kong, China",Men,35-39,620
2023,187,30:43:21,Samuel FRIGON,Canada,Men,20-34,723
2023,188,30:47:06,William WEIDMAN,United States,Men,40-44,662
2023,189,30:48:02,Elisabeth BORGERSEN,Norway,Women,40-44,666
2023,190,30:56:22,Francois LEBETTRE,France,Men,45-49,621
2023,191,30:58:33,Steven EVERS,United States,Men,20-34,690
2023,192,30:59:44,Antoine BOUCHET,France,Men,40-44,786
2023,193,31:02:24,Michal KASZUBA,Poland,Men,45-49,763
2023,194,31:05:06,Frederic ROMERO,France,Men,45-49,667
2023,195,31:05:14,Vivien CALI,France,Men,40-44,654
2023,196,31:05:25,Alessandro BERTELLE,Italy,Men,40-44,618
2023,197,31:06:20,Jaime VILA,Spain,Men,40-44,635
2023,198,31:09:26,Vasco MONTEIRO,Portugal,Men,35-39,698
2023,199,31:11:18,António MARTINS,Portugal,Men,40-44,696
2023,200,31:12:02,Kevin DUBREUIL,France,Men,20-34,680
2023,201,31:14:06,Brandon LEWIS-TREMBLAY,Canada,Men,20-34,651
2023,202,31:16:05,Hiroyuki MATSUDA,Japan,Men,40-44,746
2023,203,31:21:04,Jordi ESCUDERO MIQUEL,Spain,Men,45-49,635
2023,204,31:22:35,Lope GUTIÉRREZ ARRIOLA,Spain,Men,40-44,704
2023,205,31:23:10,Andrei ISTINA,Romania,Men,40-44,693
2023,206,31:23:42,Thomas JONSSON,Sweden,Men,55-59,612
2023,207,31:25:07,Jean-Remi COLLIGNON,France,Men,35-39,663
2023,208,31:25:21,David GONZALEZ LLERA,Spain,Men,35-39,695
2023,209,31:25:30,Benjamin SARRADE-LOUCHEUR,France,Men,35-39,740
2023,210,31:26:15,Tudorel BUZOI,Romania,Men,50-54,690
2023,211,31:28:17,Felix SANCHEZ-PARRA,Spain,Men,45-49,687
2023,212,31:28:26,Oscar ISAKSSON,Sweden,Men,20-34,655
2023,213,31:30:36,Michael MOLYNEAUX,South Africa,Men,40-44,719
2023,214,31:30:39,Chris NGAKA,South Africa,Men,40-44,725
2023,215,31:31:20,Jack TINUCCI,United States,Men,35-39,578
2023,216,31:32:02,Gilmer GALEANO CRUZ,Venezuela,Men,35-39,683
2023,217,31:32:32,Elisabeth RIOS PEREDO,Bolivia,Women,40-44,685
2023,218,31:33:52,David MIAO,United States,Men,55-59,603
2023,219,31:34:24,Lonan O FARRELL,Ireland,Men,40-44,699
2023,220,31:34:26,Sam HAND,Ireland,Men,35-39,657
2023,221,31:36:59,Yosuke YAMADA,Japan,Men,40-44,703
2023,222,31:37:09,James MILES,Canada,Men,20-34,689
2023,223,31:37:35,Ruben RAMAJO FARRE,Spain,Men,40-44,694
2023,224,31:37:55,John ADAMS,Canada,Men,35-39,650
2023,225,31:38:11,María Victoria SOLER JIMENEZ,Spain,Women,45-49,649
2022,1,19:49:30,Kilian JORNET BURGADA,Spain,Men,35-39,945
2022,2,19:54:50,Mathieu BLANCHARD,France,Men,35-39,901
2022,3,20:34:35,Tom EVANS,United Kingdom,Men,20-34,916
2022,4,21:12:12,Jim WALMSLEY,United States,Men,20-34,934
2022,5,21:27:50,Zach MILLER,United States,Men,20-34,901
2022,6,21:28:14,Benat MARMISSOLLE,France,Men,40-44,870
2022,7,21:35:45,Arthur JOYEUX-BOUILLON,France,Men,20-34,865
2022,8,21:46:16,Jonas RUSSI,Switzerland,Men,35-39,880
2022,9,22:07:58,Robert HAJNAL,Romania,Men,20-34,863
2022,10,22:09:19,Thibaut GARRIVIER,France,Men,20-34,903
2022,11,22:24:28,Andy SYMONDS,United Kingdom,Men,40-44,838
2022,12,22:26:33,Thibault MARQUET,France,Men,20-34,857
2022,13,22:27:39,Alban BERSON,France,Men,40-44,834
2022,14,22:36:10,Jimmy ELAM,United States,Men,35-39,817
2022,15,22:40:05,Guillaume DENEFFE,Belgium,Men,35-39,823
2022,16,22:52:00,Jeff MOGAVERO,United States,Men,20-34,881
2022,17,22:54:25,Jhon BARRERA,Colombia,Men,35-39,834
2022,18,22:55:30,Alexandre BOUCHEIX,France,Men,20-34,835
2022,19,23:03:42,Mark DARBYSHIRE,United Kingdom,Men,40-44,888
2022,20,23:04:39,Guomin DENG,China,Men,20-34,858
2022,21,23:11:43,Alexandre BERAUD,France,Men,20-34,832
2022,22,23:15:12,Katie SCHIDE,United States,Women,20-34,831
2022,23,23:28:34,Rod FARVARD,United States,Men,20-34,894
2022,24,23:32:34,Julien CHORIER,France,Men,40-44,808
2022,25,23:35:26,Kamil LESNIAK,Poland,Men,20-34,844
2022,26,23:38:11,Ugo FERRARI,France,Men,20-34,809
2022,27,23:42:43,Maxime GRENOT,France,Men,20-34,804
2022,28,23:44:34,Hajime MAMBA,Japan,Men,20-34,816
2022,29,23:45:24,Massimo PALADIN,Italy,Men,35-39,783
2022,30,23:55:03,Santos Gabriel RUEDA,Argentina,Men,20-34,849
2022,31,23:58:21,Juuso SIMPANEN,Finland,Men,20-34,817
2022,32,24:04:06,Marian PRIADKA,Slovakia,Men,35-39,840
2022,33,24:04:27,Ho Chung WONG,"Hong Kong, China",Men,35-39,788
2022,34,24:05:24,Hirokazu NISHIMURA,Japan,Men,40-44,836
2022,35,24:13:03,Roberto MASTROTTO,Italy,Men,35-39,816
2022,36,24:15:12,Sylvain COURT,France,Men,35-39,839
2022,37,24:16:34,David LANEY,United States,Men,20-34,844
2022,38,24:21:03,Gianluca GALEATI,Italy,Men,35-39,784
2022,39,24:28:52,Jonathan MONCANY,France,Men,20-34,815
2022,40,24:31:22,Marianne HOGAN,Canada,Women,20-34,779
2022,41,24:39:33,Tony MOULAI,France,Men,45-49,790
2022,42,24:39:48,Walter MANSER,Switzerland,Men,45-49,859
2022,43,24:40:59,Daniel COLOM-MASIP,Spain,Men,40-44,807
2022,44,24:49:26,Arnaud LEJEUNE,France,Men,40-44,797
2022,45,24:51:23,Samir TAZI,France,Men,35-39,816
2022,46,24:57:10,Moises JIMENEZ,Venezuela,Men,20-34,815
2022,47,25:07:44,Kaytlyn GERBIN,United States,Women,20-34,714
2022,48,25:08:01,Canyon WOODWARD,United States,Men,20-34,807
2022,49,25:10:05,Alberto FERRETTO,Italy,Men,20-34,747
2022,50,25:11:27,Seth SWANSON,United States,Men,40-44,777
2022,51,25:17:51,Jisu KIM,South Korea,Men,45-49,776
2022,52,25:22:12,Tyler GREEN,United States,Men,35-39,880
2022,53,25:27:07,Takumi SAWAYANAGI,Japan,Men,35-39,791
2022,54,25:30:59,Jason SCHLARB,United States,Men,40-44,783
2022,55,25:50:58,Jantaraboon KIANGCHAIPAIPHANA,Thailand,Men,35-39,808
2022,56,26:00:00,Sebastien HENRI,France,Men,40-44,690
2022,57,26:06:39,John TIDD,Spain,Men,55-59,687
2022,58,26:08:42,Arnaud HENIN,France,Men,35-39,-
2022,59,26:13:16,Remi BERCHET,France,Men,35-39,793
2022,60,26:13:58,Jocelyne PAULY,France,Women,45-49,725
2022,61,26:32:06,Tomasz KIK,Slovakia,Men,40-44,779
2022,62,26:32:39,Eszter CSILLAG,Hungary,Women,35-39,776
2022,63,26:33:18,Julien MORVILLE,France,Men,35-39,713
2022,64,26:33:36,Ryota NAKATANI,Japan,Men,20-34,812
2022,65,26:33:58,Marin MANDEKIC,Croatia,Men,45-49,694
2022,66,26:37:08,Jose Maria GARRIDO REYES,Spain,Men,35-39,814
2022,66,26:37:08,Emily HAWGOOD,Zimbabwe,Women,20-34,770
2022,68,26:38:30,Moises VIDAL,Spain,Men,45-49,708
2022,69,26:41:37,Vincent CHABANNE,France,Men,40-44,735
2022,70,26:48:13,Stephane EYCHENNE,France,Men,40-44,743
2022,71,26:48:58,Hallvard SCHJOLBERG,Norway,Men,45-49,761
2022,72,26:52:03,Arnaud DELEPINE,France,Men,40-44,785
2022,73,27:07:16,Antoine BOUCHET,France,Men,40-44,786
2022,74,27:14:10,Manuel CORBI TOMAS,Spain,Men,40-44,754
2022,75,27:14:21,Fuzhao XIANG,China,Women,20-34,793
2022,76,27:16:57,Michael SKOBIERSKI,Austria,Men,35-39,732
2022,77,27:17:49,Aroa SIO,Spain,Women,40-44,741
2022,78,27:22:55,Mael PRIGENT,France,Men,45-49,701
2022,79,27:25:04,Marcin SWIERC,Poland,Men,35-39,744
2022,80,27:28:27,John Ray Galutera ONIFA,Philippines,Men,20-34,853
2022,81,27:29:39,Sylvain CAMUS,France,Men,40-44,814
2022,82,27:31:46,Francesca PRETTO,Italy,Women,45-49,681
2022,83,27:32:14,Darryn PATTERSON,South Africa,Men,35-39,-
2022,84,27:36:34,Austin CHIRICO,United States,Men,20-34,777
2022,85,27:38:36,Peteris GRIVINS,Latvia,Men,35-39,741
2022,86,27:38:48,Florimond CAHEZ,France,Men,35-39,720
2022,87,27:40:37,Edoardo CURRERI,Italy,Men,20-34,726
2022,88,27:43:46,Jean-Baptiste EWALD,France,Men,40-44,685
2022,89,27:44:58,Hugo HAYA CALDERON,Spain,Men,20-34,700
2022,90,27:50:08,Lewis RYAN,United Kingdom,Men,20-34,772
2022,91,27:51:57,Mathieu RENAULD,France,Men,35-39,-
2022,92,28:01:06,Raul FERNANDEZ-QUINTANILLA,Spain,Men,40-44,640
2022,93,28:01:32,Sylvain MENDEZ,France,Men,20-34,738
2022,94,28:02:14,Alexander RABENSTEINER,Italy,Men,45-49,781
2022,95,28:13:23,Quentin STEPHAN,France,Men,20-34,737
2022,96,28:14:09,Xabi ESPIL,France,Men,35-39,-
2022,97,28:15:29,Eva Maria SPERGER,Germany,Women,40-44,724
2022,98,28:16:31,Nicolas BIE,France,Men,45-49,714
2022,99,28:21:22,Paulina KRAWCZAK,Poland,Women,35-39,710
2022,100,28:21:38,Baptiste EVEILLARD,France,Men,20-34,723
2022,101,28:28:17,Lonan O FARRELL,Ireland,Men,40-44,699
2022,102,28:29:16,Daan NIEUWENHUIS,Netherlands,Men,20-34,711
2022,103,28:30:11,Henrik SMEDS,Sweden,Men,40-44,629
2022,103,28:30:11,Augustin SEGARD,France,Men,20-34,713
2022,105,28:30:52,Ugo BONNET,France,Men,20-34,629
2022,106,28:31:05,Yoann MILLE,France,Men,20-34,708
2022,107,28:35:02,David HANNA,United Kingdom,Men,40-44,635
2022,108,28:35:38,Romain BERION,France,Men,35-39,672
2022,109,28:36:21,Emily VAUDAN,Switzerland,Women,35-39,687
2022,110,28:37:02,Lucien LOYER,France,Men,40-44,691
2022,111,28:40:27,Tom ENGLUND,Sweden,Men,45-49,656
2022,112,28:41:32,Joe LAUE,United States,Men,20-34,721
2022,113,28:43:00,Alex DOCTA,United States,Men,35-39,748
2022,114,28:43:58,Marijn SINKELDAM,Netherlands,Men,20-34,762
2022,115,28:44:57,Masatoshi OBARA,Japan,Men,40-44,806
2022,116,28:45:12,Fabien MASSON,France,Men,20-34,701
2022,117,28:47:02,Oscar MONJE,Spain,Men,35-39,697
2022,118,28:48:11,Marc BRIGGELER,Switzerland,Men,35-39,664
2022,119,28:48:52,Jimmy PELLEGRINI,Italy,Men,40-44,-
2022,120,28:49:46,Ivan MONTES LOMBAO,Spain,Men,35-39,719
2022,121,28:50:57,Christophe PIMENTA,France,Men,40-44,742
2022,122,28:54:33,Kaori NIWA,Japan,Women,45-49,658
2022,123,28:57:18,Cesar DUARTE,Portugal,Men,35-39,697
2022,124,29:00:02,Masazumi FUJIOKA,Japan,Men,50-54,624
2022,125,29:01:17,Sange SHERPA,Nepal,Men,40-44,825
2022,126,29:05:06,Nicola POGGI,Italy,Men,40-44,783
2022,127,29:05:12,Douglas CLARK,United Kingdom,Men,40-44,625
2022,128,29:05:21,Arthur CAFFIER,France,Men,20-34,724
2022,129,29:05:34,Jean-Baptiste CHARLIN,France,Men,40-44,619
2022,130,29:08:40,Eoin KEITH,Ireland,Men,50-54,651
2022,131,29:09:30,Florian BOURGEY,France,Men,20-34,657
2022,132,29:09:43,Hillary ALLEN,United States,Women,20-34,717
2022,133,29:10:11,Basilia FÖRSTER,Italy,Women,40-44,628
2022,134,29:10:24,Jun ARAKAWA,Japan,Men,35-39,742
2022,135,29:11:11,Axel POUDES,France,Men,40-44,640
2022,136,29:17:40,Nuno SANTOS,United Kingdom,Men,50-54,655
2022,137,29:18:10,Antoine LALLIER,France,Men,40-44,646
2022,138,29:19:37,Vivien DUCHESNE,France,Men,35-39,638
2022,139,29:20:31,Damien ANQUEZ,France,Men,35-39,652
2022,139,29:20:31,Thomas JEDAR,France,Men,20-34,706
2022,141,29:22:34,Albert NAVARRO LOPEZ,Spain,Men,20-34,697
2022,142,29:24:34,Dimitar MARINOV,Bulgaria,Men,35-39,651
2022,143,29:28:44,Mélanie DELASOIE,Switzerland,Women,20-34,691
2022,144,29:29:14,Jiri VAINERT,Czech Republic,Men,50-54,654
2022,145,29:29:54,Artur PIECHA,Poland,Men,45-49,667
2022,146,29:31:43,Domingo RUIZ VELEZ,Spain,Men,45-49,607
2022,147,29:31:57,Arnaud GALLAY,France,Men,35-39,742
2022,148,29:34:22,Xavier SANTASUSANA ESQUIUS,Spain,Men,40-44,733
2022,149,29:34:44,Canhua LUO,China,Men,20-34,858
2022,150,29:36:02,Federico PACHECO,Costa Rica,Men,40-44,640
2022,151,29:39:17,Florian PAUZE,France,Men,35-39,684
2022,152,29:43:00,Maurizio FERRATUSCO,Italy,Men,35-39,711
2022,153,29:43:42,Jesus FRAILE JIMÉNEZ,Spain,Men,45-49,710
2022,154,29:45:09,Michael CADY,United States,Men,35-39,702
2022,155,29:47:23,Jean-Philippe LEBEAU,Canada,Men,40-44,605
2022,156,29:48:17,Robert JONES,United Kingdom,Men,35-39,602
2022,157,29:49:56,Nathan BOIRIN,France,Men,20-34,678
2022,158,29:51:11,Antoine MIEL,France,Men,35-39,646
2022,159,29:54:13,Nicolas COINTEPAS,France,Men,50-54,640
2022,160,29:54:21,Mickael GARDIZE,France,Men,40-44,600
2022,161,30:00:15,Nicolas GARIN LAUREL,France,Men,40-44,713
2022,162,30:01:18,David PEREZ,France,Men,40-44,710
2022,163,30:02:13,Pierre LE TORTOREC,France,Men,35-39,770
2022,164,30:03:15,Jose-Maria CERMEÑO-VEGA,Spain,Men,50-54,597
2022,165,30:05:40,Guillaume MITTNACHT,France,Men,20-34,620
2022,166,30:05:56,Florent DUSSAUZE,France,Men,35-39,713
2022,167,30:09:55,Christophe AUFFRET,France,Men,50-54,-
2022,168,30:10:50,Patrick COLE,United States,Men,40-44,749
2022,169,30:11:33,Esteban GARCIA,Spain,Men,40-44,786
2022,170,30:12:00,Alain ETCHEVERRY,France,Men,40-44,631
2022,171,30:13:21,Guillaume GRASSET,France,Men,20-34,636
2022,172,30:14:07,Brandon CREWS,United States,Men,40-44,593
2022,173,30:21:16,Lou CLIFTON,Australia,Women,50-54,655
2022,174,30:23:51,Tanguy EPALE,France,Men,45-49,683
2022,175,30:24:40,Nelson VIEIRA,Portugal,Men,45-49,658
2022,175,30:24:40,Flavio VIEIRA,Portugal,Men,35-39,681
2022,177,30:24:58,Takeshi NODA,Japan,Men,35-39,692
2022,178,30:25:59,Zen SHERLEY DALE,United Kingdom,Men,35-39,665
2022,179,30:28:17,Jean Louis VALLET,Italy,Men,45-49,629
2022,180,30:28:35,Pierre GAPIHAN,France,Men,35-39,765
2022,181,30:32:49,Joelso CORDEIRO,Brazil,Men,35-39,706
2022,182,30:34:23,Luis DE ANDRES SANTOS,Spain,Men,35-39,657
2022,183,30:35:13,Katarzyna SOLINSKA,Poland,Women,20-34,748
2022,184,30:36:13,Brendon PIERSON,United States,Men,20-34,-
2022,185,30:36:39,Rubén SÁNCHEZ-VERDEGUER,Spain,Men,40-44,726
2022,186,30:37:39,Stefan SCHWARZ,Austria,Men,35-39,666
2022,187,30:38:58,Claire HESLOP,Canada,Women,40-44,641
2022,188,30:39:37,Juan-Diego AGUILAR-BRAVO,Spain,Men,40-44,688
2022,189,30:42:15,Romain HUSSON,France,Men,20-34,685
2022,190,30:44:00,Jonathan THIRE,France,Men,35-39,662
2022,191,30:46:54,Andrzej MIKA,Poland,Men,35-39,678
2022,192,30:47:30,Grégory BOUDON,France,Men,40-44,748
2022,193,30:48:08,Jordi BARRANCOS,Spain,Men,50-54,647
2022,194,30:53:32,Julien METTETAL,France,Men,45-49,622
2022,195,30:53:41,Atthapol INTAJAK,Thailand,Men,20-34,700
2022,196,30:53:59,Sebastien BETOURET,France,Men,45-49,604
2022,197,30:54:28,Tim MCDONOUGH,Canada,Men,40-44,670
2022,198,30:58:13,Marc PUIG-AMIEL,Spain,Men,35-39,665
2022,199,30:59:16,Federico RONCAGLIOLO,Italy,Men,40-44,579
2022,200,31:03:57,Jordi CARRASCO SALA,Spain,Men,35-39,577
2022,201,31:08:41,Clément BECQUET,France,Men,35-39,648
2022,202,31:09:08,Lukas HULKA,Czech Republic,Men,40-44,614
2022,203,31:10:21,Daniel MOLDOVEANU,Switzerland,Men,35-39,-
2022,204,31:10:27,Philippe ANDRES,France,Men,45-49,664
2022,205,31:12:39,Adrien LEBRETON,France,Men,20-34,759
2022,206,31:13:55,Michel ROSALES,Venezuela,Men,20-34,636
2022,207,31:15:28,Henri LEHKONEN,Australia,Men,35-39,683
2022,208,31:17:14,Etienne GLEIZES,France,Men,20-34,594
2022,209,31:19:44,Mikael POIXBLANC,France,Men,45-49,658
2022,210,31:19:55,Ivan GALVAN,Spain,Men,35-39,743
2022,211,31:21:46,Jordi URO MOMPEL,Spain,Men,35-39,659
2022,212,31:22:54,Christophe BERTHEL,France,Men,45-49,619
2022,213,31:24:09,Anete SVILPE,Latvia,Women,20-34,691
2022,214,31:25:06,Vegard TRISETH,Norway,Men,45-49,676
2022,215,31:25:21,Samuel MARAFFI,France,Men,20-34,708
2022,216,31:25:32,Arnaud DELORAZ,France,Men,20-34,-
2022,217,31:26:40,Shunsuke OKUNOMIYA,Japan,Men,40-44,723
2022,218,31:26:51,Viktor Olov LEONIDOU,Cyprus,Men,20-34,692
2022,219,31:27:42,Nicolas FOUILLOT,France,Men,20-34,714
2022,220,31:27:56,Oliviero ALOTTO,Italy,Men,35-39,595
2022,221,31:29:58,Claire BANNWARTH,France,Women,20-34,706
2022,222,31:31:21,Lars HEDLUND,Sweden,Men,50-54,623
2022,223,31:31:59,Akito NAGAO,Japan,Men,20-34,747
2022,224,31:32:26,Xabier BERGERA-LEKUONA,Spain,Men,20-34,627
2022,225,31:33:17,Maria Silvina PEREZ,Argentina,Women,40-44,632
2021,1,20:45:59,Francois D'HAENE,France,Men,35-39,897
2021,2,20:58:31,Aurelien DUNAND PALLAZ,France,Men,20-34,887
2021,3,21:12:43,Mathieu BLANCHARD,France,Men,20-34,901
2021,4,21:38:44,Ludovic POMMERET,France,Men,45-49,891
2021,5,21:52:47,Germain GRANGIER,France,Men,20-34,897
2021,6,22:22:06,Hannes NAMBERGER,Germany,Men,20-34,913
2021,7,22:30:54,Courtney DAUWALTER,United States,Women,35-39,849
2021,8,23:00:10,Gregoire CURMER,France,Men,20-34,848
2021,8,23:00:10,Diego PAZOS,Switzerland,Men,35-39,802
2021,10,23:08:05,Mathieu CLEMENT,Switzerland,Men,20-34,838
2021,11,23:17:40,Ho Chung WONG,"Hong Kong, China",Men,20-34,788
2021,12,23:42:28,Yannick NOEL,France,Men,35-39,882
2021,13,23:45:41,Giulio ORNATI,Italy,Men,35-39,842
2021,14,23:56:20,Aleksei TOLSTENKO,Russia,Men,35-39,859
2021,15,23:57:07,Jon AIZPURU,Spain,Men,20-34,-
2021,16,24:09:42,Camille BRUYAS,France,Women,20-34,761
2021,17,24:16:25,Vincent VIET,France,Men,35-39,829
2021,18,24:34:36,Ugo FERRARI,France,Men,20-34,809
2021,19,24:37:06,Benjamin BUBLAK,Germany,Men,20-34,787
2021,20,24:39:18,Javier DOMINGUEZ LEDO,Spain,Men,45-49,766
2021,21,24:49:02,Rene ROVERA,France,Men,50-54,788
2021,22,24:54:19,Bruno SOUSA,Portugal,Men,35-39,806
2021,23,25:08:29,Mimmi KOTKA,Sweden,Women,40-44,744
2021,24,25:09:31,Nicolas CERISIER,France,Men,35-39,778
2021,25,25:12:33,Jeremy LABY,France,Men,20-34,696
2021,26,25:17:54,Clement HELIER,France,Men,35-39,802
2021,27,25:17:55,Samir TAZI,France,Men,35-39,816
2021,28,25:24:10,Cédric GOLEA,France,Men,40-44,755
2021,29,25:34:37,Regis DURAND,France,Men,40-44,722
2021,30,25:39:18,Pere Lluis GARAU MAIRATA,Spain,Men,45-49,-
2021,31,25:50:27,Tomáš STVERAK,Czech Republic,Men,20-34,768
2021,32,25:51:36,Jérémie MARIN,France,Men,20-34,811
2021,33,25:54:33,Marion DELESPIERRE MAUPPIN,France,Women,20-34,759
2021,34,25:54:39,Luke JAY,United States,Men,40-44,681
2021,35,25:59:45,Stephen ROUX,France,Men,20-34,792
2021,36,26:06:17,Luzia BUEHLER,Switzerland,Women,35-39,747
2021,37,26:08:56,Marc OLLE BERNADES,Spain,Men,20-34,870
2021,38,26:19:09,Thibaut LECURU,France,Men,35-39,755
2021,39,26:21:23,José Antonio RODRIGUEZ FERNANDEZ,Spain,Men,35-39,740
2021,40,26:37:46,Martin PERRIER,France,Men,20-34,759
2021,41,26:40:26,Andre PURSCHKE,Germany,Men,35-39,795
2021,42,26:40:48,Maryline NAKACHE,France,Women,35-39,719
2021,43,26:42:04,Alexandre BOUCHEIX,France,Men,20-34,835
2021,44,26:44:41,Lucie JAMSIN,France,Women,20-34,725
2021,45,26:45:08,Maxime GRENOT,France,Men,20-34,804
2021,46,26:51:20,Robert HAJNAL,Romania,Men,20-34,863
2021,47,27:05:30,Maxime POLIGNE,France,Men,20-34,711
2021,48,27:21:49,Jérôme MIRASSOU,France,Men,35-39,710
2021,49,27:25:41,Ginés ARROYO,Spain,Men,40-44,735
2021,50,27:29:55,Louis FRACK,France,Men,20-34,713
2021,51,27:38:33,Nicolas SONDAZ,France,Men,45-49,673
2021,52,27:39:45,Katie SCHIDE,United States,Women,20-34,831
2021,53,27:41:20,Sam SHEPHERD,United Kingdom,Men,35-39,-
2021,54,27:42:09,Hugues-Marie DE COUESNONGLE,France,Men,35-39,680
2021,55,27:43:39,Ludovic BOURGEOIS,France,Men,35-39,762
2021,56,27:46:36,Benjamin HALL,Australia,Men,40-44,616
2021,57,27:49:25,Kai LANGEL,Finland,Men,45-49,639
2021,58,27:53:26,Zdeněk HRUSKA,Czech Republic,Men,20-34,727
2021,59,27:55:36,Claudia TREMPS,Spain,Women,20-34,750
2021,60,28:04:11,Eoin KEITH,Ireland,Men,50-54,651
2021,61,28:07:42,Marco GUBERT,Italy,Men,20-34,804
2021,62,28:09:20,Stuart MCCONNACHIE,South Africa,Men,40-44,675
2021,63,28:09:39,Julien OLIVAR CALVO,France,Men,35-39,710
2021,64,28:11:12,Olivier VAN GULCK,Belgium,Men,35-39,705
2021,65,28:13:06,Remi DELILLE,France,Men,35-39,654
2021,66,28:13:20,Anton DOLGOV,Russia,Men,45-49,-
2021,67,28:16:15,Stellan FRIES,Sweden,Men,50-54,522
2021,68,28:18:54,Juan Francisco PEREZ VELARDE,Spain,Men,45-49,689
2021,69,28:19:20,Brian BUCKLEY,Ireland,Men,40-44,596
2021,70,28:22:20,Vincent PELISSON,France,Men,20-34,708
2021,71,28:23:46,Ondrej PAVLU,Czech Republic,Men,20-34,750
2021,72,28:29:34,Leivo SEPP,Estonia,Men,45-49,634
2021,73,28:36:48,Emily HAWGOOD,Zimbabwe,Women,20-34,770
2021,74,28:40:04,Sergey SHELKOVOY,Netherlands,Men,35-39,643
2021,75,28:44:03,Francesc CABALLE FABRA,Spain,Men,35-39,706
2021,76,28:48:17,William WEIDMAN,United States,Men,35-39,662
2021,77,28:51:35,Johan FERNANDEZ,France,Men,40-44,714
2021,78,28:53:16,Kamil DABROWSKI,Poland,Men,20-34,733
2021,79,28:53:19,Bartosz PARDELA,Poland,Men,35-39,667
2021,80,28:54:58,Stephane RIGOULET,France,Men,45-49,636
2021,81,28:58:59,Sébastien JACQUEMIN,France,Men,35-39,748
2021,82,29:00:17,Jose-Francisco IGLESIAS-MARTIN,Spain,Men,45-49,-
2021,83,29:10:13,Patrick ARCE,France,Men,35-39,705
2021,84,29:11:59,Linda BOLDANE,Latvia,Women,20-34,689
2021,85,29:12:48,Sebastia MASSANET-RIERA,Spain,Men,35-39,682
2021,86,29:14:00,Esteve MORENO VINAS,Andorra,Men,50-54,694
2021,87,29:14:02,Uxue FRAILE-AZPEITIA,Spain,Women,45-49,632
2021,88,29:23:39,Matthis GRANET,France,Men,20-34,788
2021,89,29:29:20,Vincent BERGER,France,Men,45-49,644
2021,90,29:30:11,Jan Olav LØVDOKKEN,Norway,Men,20-34,624
2021,91,29:34:27,Anton KUHBERGER,Austria,Men,45-49,666
2021,92,29:39:26,Alfontso ETXARRI,Spain,Men,50-54,663
2021,93,29:47:25,Kaori NIWA,Japan,Women,45-49,658
2021,94,29:49:42,Julien BOURGEOIS,France,Men,35-39,601
2021,95,29:54:38,Daphne ALGLAVE GUIBERT,France,Women,35-39,574
2021,96,30:00:19,Andy CLARK,New Zealand,Men,35-39,657
2021,97,30:02:53,Elijah FLENNER,United States,Men,45-49,547
2021,98,30:09:51,Titus ABLORH,Czech Republic,Men,20-34,634
2021,99,30:12:54,Mariusz GEZELA,Poland,Men,40-44,601
2021,100,30:14:04,Clément SINQSOUS,France,Men,20-34,723
2021,101,30:15:49,Emil SODERLUND,Finland,Men,45-49,632
2021,102,30:23:20,Mirko FIORETTI,Italy,Men,20-34,756
2021,103,30:23:35,Guillaume LAUGEROTTE,France,Men,35-39,-
2021,104,30:24:30,Raul BARRIOCANAL MANCERA,Spain,Men,45-49,649
2021,105,30:28:56,Manuel MYOTTE-DUQUET,France,Men,35-39,693
2021,106,30:33:49,Audrey BASSAC,France,Women,20-34,638
2021,107,30:34:39,Flo MULLER,Germany,Men,40-44,636
2021,108,30:35:44,Molly BAZILCHUK,Norway,Women,20-34,643
2021,109,30:36:30,Velibor JOVANOVIĆ,Slovenia,Men,40-44,713
2021,110,30:36:56,Anthony BRENEOL,France,Men,20-34,622
2021,111,30:38:39,Pierre MESLET,France,Men,35-39,714
2021,112,30:39:03,Sebastien LAMOOT,France,Men,40-44,672
2021,113,30:42:38,Nathan MOODY,United States,Men,45-49,722
2021,114,30:43:55,Bruno MAZZUCCHELLI,France,Men,40-44,709
2021,115,30:46:16,Yann THEODIN,France,Men,45-49,661
2021,116,30:48:12,Segismundo GARCIA DE PAREDES,Spain,Men,40-44,592
2021,117,30:48:55,Boris LEGUY,France,Men,35-39,723
2021,118,30:57:40,Yann GUILLERM,France,Men,40-44,736
2021,119,31:02:07,Piero TOFFOLI,Italy,Men,55-59,-
2021,120,31:02:10,Joe O LEARY,Ireland,Men,45-49,748
2021,121,31:04:16,Laurent SCHRAM,France,Men,45-49,628
2021,122,31:11:18,Mattia DEPAOLI,Italy,Men,35-39,698
