Année,Classement,Temps,Nom,Nationnalité,Sexe,Catégory,Index
2024,91,27:07:22,Florent CUNY,France,Men,35-39,759
2024,92,27:09:09,PACOME THIBAULT LOPEZ,France,Men,20-34,704
2024,93,27:11:24,Oleksii MELNYK,Ukraine,Men,35-39,757
2024,94,27:12:25,Alexis CRELLIN,United States,Women,35-39,693
2024,95,27:16:18,Maryline NAKACHE,France,Women,40-44,719
2024,96,27:18:18,Javier CANTERO CUESTA,Spain,Men,20-34,707
2024,97,27:19:52,Edouard PERONA,France,Men,40-44,720
2024,98,27:23:41,Marc-Antoine BROCHARD,France,Men,35-39,687
2024,99,27:25:02,Volker SAUERZAPF,Austria,Men,45-49,701
2024,100,27:26:37,Kevin MICHAUD,France,Men,20-34,780
2024,101,27:27:21,Florent GHIRARD,France,Men,40-44,747
2024,102,27:30:04,Simon COCHRANE,New Zealand,Men,40-44,759
2024,103,27:32:27,Remi DELILLE,France,Men,40-44,654
2024,104,27:33:13,Johanna ANTILA,Finland,Women,40-44,742
2024,105,27:35:11,Roberto MASTROTTO,Italy,Men,35-39,816
2024,106,27:36:54,Johan FERNANDEZ,France,Men,45-49,714
2024,107,27:38:19,Joe MILLER,United States,Men,35-39,780
2024,108,27:41:04,Benoit GUILLAUME,France,Men,35-39,730
2024,109,27:41:30,Paul CLEMENT,France,Men,35-39,699
2024,110,27:45:25,Jakob ÅBERG (Jakob ABERG),Sweden,Men,20-34,806
2024,111,27:45:54,Damien LOITRON,France,Men,35-39,775
2024,112,27:47:31,David GARNIER,France,Men,40-44,673
2024,113,27:47:58,Claire BANNWARTH,France,Women,35-39,706
2024,114,27:48:43,Arnaud MARTIN,France,Men,20-34,755
2024,115,27:49:22,Francois Olivier WEICHERT,France,Men,20-34,655
2024,116,27:50:59,Viktor Olov LEONIDOU,Cyprus,Men,20-34,692
2024,117,27:56:08,Clément CHRÉTIEN,France,Men,35-39,777
2024,118,27:56:40,Mike MCMONAGLE,United States,Men,20-34,803
2024,119,27:57:11,Thomas GAUDINAUD,France,Men,20-34,722
2024,120,27:57:13,Noor VAN DER VEEN,Netherlands,Women,20-34,644
2024,121,27:57:23,Chris MCNAMARA,Canada,Men,20-34,707
2024,122,27:58:05,Scott COOPER,Canada,Men,35-39,776
2024,123,27:58:08,Clement JAMBOU,France,Men,20-34,680
2024,124,27:58:36,Emmanuel SALINAS,Chile,Men,35-39,733
2024,125,28:00:05,Wolfgang HOCHHOLZER,Germany,Men,40-44,775
2024,126,28:01:42,Victor DEBIL-CAUX,France,Men,40-44,761
2024,127,28:02:20,Grégoire DESLOGES,France,Men,35-39,713
2024,128,28:07:06,Manon BOHARD CAILLER,France,Women,20-34,759
2024,129,28:10:01,Olivier MORIN,France,Men,45-49,680
2024,130,28:12:13,Benjamin NICOLAS,France,Men,20-34,767
2024,131,28:18:22,Laura VAN VOOREN,Belgium,Women,20-34,684
2024,132,28:20:31,Marco PERCHE,France,Men,20-34,754
2024,133,28:27:14,Aubin LE ROUX,France,Men,20-34,721
2024,134,28:38:05,Sophie GRANT,United Kingdom,Women,40-44,668
2024,135,28:38:26,Louis SCHINDLER,New Zealand,Men,45-49,760
2024,136,28:39:18,Sam WILLIAMS,Australia,Men,20-34,669
2024,137,28:40:47,Benjamin ATTIA,France,Men,35-39,670
2024,138,28:41:16,Hannah MCRAE,Australia,Women,20-34,662
2024,139,28:42:01,Justin BIDAULT,France,Men,20-34,726
2024,140,28:44:11,Ondřej PAVELKA,Czech Republic,Men,20-34,742
2024,141,28:44:15,Ture Dahl BORGLUM,Denmark,Men,40-44,703
2024,141,28:44:15,Ludwig ROHART,France,Men,35-39,669
2024,143,28:44:43,Mélanie DELASOIE,Switzerland,Women,20-34,691
2024,144,28:44:55,Dominique JEAN,France,Men,35-39,685
2024,145,28:49:02,Jean-Jacques MEYRONEINC,France,Men,45-49,750
2024,146,28:50:33,Douglas CLARK,United Kingdom,Men,45-49,625
2024,147,28:54:54,Brice JACQUOT,France,Men,40-44,656
2024,148,28:55:35,Jiri VAINERT,Czech Republic,Men,50-54,654
2024,149,28:58:10,Sylvain MENDEZ,France,Men,35-39,738
2024,150,29:09:18,James ALLEN,United Kingdom,Men,20-34,721
2024,151,29:11:28,Benjamin ATKINS,United Kingdom,Men,50-54,754
2024,152,29:11:33,Brice VIGIER,France,Men,40-44,668
2024,153,29:14:48,Jonathan WEBER,France,Men,35-39,653
2024,154,29:15:45,Sebastien DOS SANTOS,France,Men,40-44,693
2024,155,29:16:07,Simon MICHELLIER,France,Men,40-44,678
2024,156,29:17:02,Marijan BUTORAC,Croatia,Men,45-49,675
2024,157,29:19:00,Juan Pablo ZINANI,Argentina,Men,35-39,660
2024,158,29:19:43,Matthieu GIRARD,Switzerland,Men,50-54,735
2024,159,29:19:50,Ryan TOMKINS,Australia,Men,35-39,630
2024,160,29:20:00,Mathieu CLOAREC,France,Men,20-34,619
2024,161,29:23:19,Ismaël EL-HALLOUF-GONZALEZ,Spain,Men,45-49,668
2024,162,29:24:37,Julien REMIZE,France,Men,40-44,632
2024,163,29:24:49,Martin POURCHET,France,Men,20-34,644
2024,164,29:25:58,Rogan MARTIN,United Kingdom,Men,40-44,687
2024,165,29:26:44,Fabien FILOCHE,France,Men,20-34,612
2024,166,29:30:30,Benjamin RASCALOU,France,Men,20-34,610
2024,167,29:32:24,Kelsey HOGAN,Canada,Women,20-34,639
2024,168,29:36:48,Jacopo FIASCHI,Italy,Men,40-44,682
2024,169,29:38:49,Anne-Sofie POLLESTAD,Norway,Women,35-39,628
2024,170,29:39:43,Jaroslav KLIZAN,Slovakia,Men,45-49,685
2024,171,29:39:53,Benoit DOULS,France,Men,35-39,733
2024,172,29:40:05,Renaud JOLY,France,Men,35-39,690
2024,173,29:41:31,Jeremie MARCUCCILLI,France,Men,40-44,742
2024,174,29:42:24,Maxime BODET,France,Men,20-34,747
2024,175,29:43:14,Inigo BAQUEDANO-ABAUNZA,Spain,Men,40-44,680
2024,176,29:44:21,Altay KURMANBAYEV,Kazakhstan,Men,35-39,638
2024,177,29:46:28,Yannick JULLIEN,France,Men,35-39,701
2024,178,29:46:55,Matej PALENIK,Slovakia,Men,20-34,717
2024,179,29:47:04,Yosuke YAMADA,Japan,Men,40-44,703
2024,180,29:47:46,David BENSUSSAN,France,Men,35-39,678
2024,181,29:48:12,Nicholas BAMFORD,United Kingdom,Men,35-39,786
2024,182,29:50:52,Baptiste COUZON,France,Men,20-34,699
2024,183,29:58:49,Matthieu LAFFITTE,France,Men,40-44,701
2024,184,29:59:54,Claudio Clasen SCHLINDWEIN,Brazil,Men,45-49,749
2024,185,30:02:45,Francesc CABALLE FABRA,Spain,Men,35-39,706
2024,186,30:03:23,Ivo ARZENTON,Italy,Men,35-39,628
2024,187,30:05:33,Samuel FRIGON,Canada,Men,20-34,723
2024,188,30:08:02,Addie BRACY,United States,Women,35-39,728
2024,189,30:08:18,Thomas LECHERMANN,Germany,Men,40-44,709
2024,190,30:09:03,Paulo Sergio ROSADO BATISTA,Portugal,Men,50-54,664
2024,191,30:10:01,Mathieu MOULIN,France,Men,20-34,625
2024,192,30:12:26,Nancy JIANG,New Zealand,Women,20-34,714
2024,193,30:13:03,Wolfgang KRONBERGER,Austria,Men,20-34,607
2024,194,30:13:48,Simon MARCIL,Canada,Men,45-49,646
2024,195,30:14:06,Florian SCHMIDT,Germany,Men,35-39,610
2024,196,30:14:40,Kevin BIGGS,Canada,Men,35-39,766
2024,197,30:16:29,Emilie MAROTEAUX,France,Women,40-44,692
2024,198,30:20:12,Gentian LIKAJ,Kosovo,Men,35-39,624
2024,199,30:22:22,DAMIEN LAHOUSSINE,France,Men,20-34,690
2024,200,30:24:01,Quentin STEPHAN,France,Men,35-39,737
2024,201,30:28:53,Alfonso ALZUGARAY,Spain,Men,40-44,642
2024,202,30:29:11,Francis BOUTONNET,France,Men,50-54,672
2024,203,30:32:37,Marcin SWIERC,Poland,Men,35-39,744
2024,204,30:32:56,Brian MESKELL,Ireland,Men,40-44,589
2024,205,30:33:03,Antoine BARTHÉLÉMY,France,Men,35-39,690
2024,206,30:33:53,Nicolas SCHENK,Australia,Men,35-39,629
2024,207,30:34:36,Johan RULLIAT,France,Men,35-39,613
2024,208,30:37:00,Yannick LIZZI,France,Men,45-49,651
2024,209,30:38:31,Mathias CARROT,France,Men,20-34,753
2024,210,30:40:23,Dardo Emmanuel OCAMPO,Argentina,Men,35-39,758
2024,211,30:41:34,Adrien CORVASIER,France,Men,20-34,805
2024,212,30:43:33,Davide SCARABELLI,Italy,Men,45-49,677
2024,213,30:46:51,Cédric GRAFF,France,Men,45-49,618
2024,214,30:49:02,Walter SCHARTON,Argentina,Men,40-44,606
2024,215,30:51:30,Gonzalo INZAURRALDE,Uruguay,Men,20-34,710
2024,216,30:51:46,Nicolas CHARRIER,France,Men,45-49,667
2024,217,30:54:52,Fabio VITORINO SANTOS,Portugal,Men,40-44,696
2024,218,30:56:52,Vincent VOYAME,Switzerland,Men,60-64,632
2024,219,30:57:39,Kyle SCHENONE,United States,Men,20-34,708
2024,220,31:01:49,Kyle ANDRES,United States,Men,35-39,651
2024,221,31:02:19,Florian WIMMER,Germany,Men,35-39,685
2024,222,31:03:42,Silvia CORIELE,Italy,Women,35-39,598
2024,223,31:05:41,Matthieu DROUYER,France,Men,20-34,701
2024,224,31:06:47,Joe KEYS,United States,Men,20-34,578
2024,225,31:07:10,Jiaju ZHAO,China,Men,20-34,884
2023,1,19:37:43,Jim WALMSLEY,United States,Men,20-34,934
2023,2,19:58:58,Zach MILLER,United States,Men,35-39,901
2023,3,20:10:52,Germain GRANGIER,France,Men,20-34,897
2023,4,20:54:25,Mathieu BLANCHARD,France,Men,35-39,901
2023,5,21:00:54,Ludovic POMMERET,France,Men,45-49,891
2023,6,21:10:38,Thibaut GARRIVIER,France,Men,20-34,903
2023,7,21:19:21,Tyler GREEN,United States,Men,35-39,880
2023,8,21:20:46,Hannes NAMBERGER,Germany,Men,20-34,913
2023,9,21:31:22,Arthur JOYEUX-BOUILLON,France,Men,20-34,865
2023,10,21:38:11,Baptiste CHASSAGNE,France,Men,20-34,887
2023,11,21:47:12,Joaquin LOPEZ,Ecuador,Men,20-34,880
2023,12,21:55:59,Daniel JONES,New Zealand,Men,20-34,918
2023,13,21:59:01,Santos Gabriel RUEDA,Argentina,Men,20-34,849
2023,14,22:07:10,Ji DUO,China,Men,20-34,888
2023,15,22:13:58,Scott HAWKER,New Zealand,Men,35-39,841
2023,16,22:25:20,Tom JOLY,United Kingdom,Men,20-34,862
2023,17,22:32:59,Rod FARVARD,United States,Men,20-34,894
2023,18,22:38:02,Raul Octaviu BUTACI,Romania,Men,35-39,873
2023,19,22:41:09,Yanqiao YUN,China,Men,35-39,891
2023,20,23:01:40,Sergio Gustavo PEREYRA,Argentina,Men,20-34,863
2023,21,23:03:13,Alexandre BOUCHEIX,France,Men,20-34,835
2023,22,23:10:40,Ugo FERRARI,France,Men,20-34,809
2023,23,23:17:35,Rene ROVERA,France,Men,55-59,788
2023,24,23:17:36,Diego PAZOS,Switzerland,Men,35-39,802
2023,25,23:29:14,Courtney DAUWALTER,United States,Women,35-39,849
2023,26,23:31:32,Gediminas GRINIUS,Lithuania,Men,40-44,850
2023,27,23:45:26,Florian GRASEL,Austria,Men,40-44,827
2023,28,23:47:43,Bastien FLEURY,France,Men,20-34,847
2023,29,23:56:00,Canyon WOODWARD,United States,Men,20-34,807
2023,30,24:10:33,Kamil LESNIAK,Poland,Men,20-34,844
2023,31,24:10:52,Katharina HARTMUTH,Germany,Women,20-34,767
2023,32,24:22:50,Blandine L HIRONDEL,France,Women,20-34,798
2023,33,24:44:37,Théo LE BOUDEC,France,Men,20-34,843
2023,34,24:48:23,Clement DESILLE,France,Men,20-34,812
2023,35,24:50:18,Zairan LI,China,Men,35-39,766
2023,36,24:50:33,Fuzhao XIANG,China,Women,20-34,793
2023,37,24:53:46,Adrian MACDONALD,United States,Men,35-39,875
2023,38,24:58:38,Jiqian WANG,China,Men,35-39,820
2023,39,25:01:39,Tomasz KIK,Slovakia,Men,40-44,779
2023,40,25:02:26,Maite MAIORA ELIZONDO,Spain,Women,40-44,746
2023,41,25:04:40,Ethan PETERS,Canada,Men,20-34,795
2023,42,25:17:50,Ryan SANDES,South Africa,Men,40-44,821
2023,43,25:18:43,Kensuke YOSHIMURA,Japan,Men,35-39,781
2023,44,25:20:23,Katarzyna SOLINSKA,Poland,Women,20-34,748
2023,45,25:27:06,Ales SEDLAK,Czech Republic,Men,35-39,797
2023,46,25:28:05,Gerhard KAUFMANN,Austria,Men,35-39,770
2023,47,25:35:07,Hayato NISHIKATA,Japan,Men,20-34,783
2023,48,25:44:05,Alexander HUTTER,Austria,Men,20-34,846
2023,49,25:46:06,David CHEW,Australia,Men,35-39,718
2023,50,25:48:54,Ailsa MACDONALD,Canada,Women,40-44,751
2023,51,25:50:49,Edouard GODINEAU,France,Men,40-44,697
2023,52,25:54:28,Guillaume PERROT,France,Men,20-34,779
2023,53,25:56:26,Takuya IKEHATA,Japan,Men,20-34,761
2023,54,26:03:24,Daniel PEREZ-FERNANDEZ,Spain,Men,40-44,737
2023,55,26:08:16,Gavin BYRNE,Ireland,Men,35-39,764
2023,56,26:08:31,Patrick DUBOZ,France,Men,40-44,726
2023,57,26:09:40,David RYAN,Ireland,Men,35-39,777
2023,58,26:13:36,Vemund OVSTEHAGE,Norway,Men,20-34,766
2023,59,26:15:13,Arthur CAFFIER,France,Men,35-39,724
2023,60,26:15:44,Jeffrey COLT,United States,Men,20-34,859
2023,61,26:18:09,Cédric GOLEA,France,Men,40-44,755
2023,62,26:21:24,Leah YINGLING,United States,Women,20-34,751
2023,63,26:21:36,Rafael BETHENCOURT GUIMERA,Spain,Men,45-49,700
2023,64,26:23:06,Majell BACKHAUSEN,Australia,Men,35-39,742
2023,65,26:29:29,Mathieu GOBAILLE,France,Men,40-44,712
2023,66,26:33:13,Matthieu DEVILLE CAVELLIN,France,Men,35-39,706
2023,67,26:42:56,Michał JUREK,Poland,Men,40-44,810
