Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
10001,2017,Caravaca Trail Experience 2017 - Promo,292,-,12.0,400.0,2.0829,0.905,3.3806,0,142,1
10003,2017,Caravaca Trail Experience 2017 - Master,163,50K,35.2,2030.0,4.9722,3.1583,7.7214,0,26,3
10003,2018,Caravaca Trail Experience 2018 - Master,81,50K,34.5,1630.0,4.5411,3.3642,6.7181,0,10,2
10003,2019,Caravaca Trail Experience 2019 - MASTER,65,50K,34.6,1630.0,4.5033,3.2142,5.9633,0,8,2
10005,2017,The Red Leaves Trail Running Race 2017 - 25KM,53,20K,27.2,1660.0,6.3384,3.4475,9.395,0,20,1
10005,2018,The Red Leaves Trail Running Race 2018 - 29KM,44,20K,28.1,1750.0,5.5513,3.3089,7.8125,0,13,2
10007,2017,The Red Leaves Trail Running Race 2017 - 50km,63,50K,50.1,2240.0,9.7445,6.2078,11.6942,0,10,1
10007,2018,The Red Leaves Trail Running Race 2018 - 50km,50,50K,51.2,2690.0,10.1592,6.4325,11.8964,0,10,2
10009,2017,Grossglockner Ultra-Trail® 2017 - GGUT 110 - Mooserboden,14,100K,92.3,6510.0,24.8401,24.1489,25.6981,0,2,5
10011,2017,Grossglockner Ultra-Trail® 2017 - GGUT 110 - Rudolfshütte,47,100K,77.3,5700.0,20.1705,13.6697,22.5269,0,12,12
10011,2019,Grossglockner Ultra-Trail® 2019 - GGUT 110 Rudolfshütte,47,100K,77.3,5690.0,15.8918,11.6411,17.6306,0,4,11
10019,2017,ULTRATRAIL ARASUNU 2017 - ULTRATRAIL ARASUNU ,9,100K,134.6,2540.0,28.5117,0.0,31.2331,1,4,2
10019,2018,ULTRATRAIL ARASUNU 2018 - ULTRATRAIL ARASUNU ,7,100K,105.5,4970.0,27.9334,22.5125,32.2286,0,2,2
10021,2017,Andorra Ultra Trail Vallnord 2017 - Eufòria ,103,100M,233.0,20000.0,98.9451,68.8286,113.4189,0,5,14
10021,2018,Andorra Ultra Trail Vallnord 2018 - Eufòria ,124,100M,233.0,20000.0,98.5197,0.0,113.7839,48,13,18
10021,2019,Andorra Ultra Trail Vallnord 2019 - Eufòria ,130,100M,233.0,20000.0,98.178,0.0,111.4367,41,24,14
10023,2017,Trans Ural 2017 - TransUral,156,50K,116.4,3600.0,17.6179,10.4031,28.7714,0,26,4
10023,2018,Trans Ural 2.0 2018 - TransUral 2.0,172,50K,139.0,4980.0,19.3229,12.5639,30.2089,0,36,3
10023,2019,Trans Ural 2.0 2019 - TransUral 2.0,113,50K,152.4,2450.0,18.5989,12.0225,27.8931,0,25,3
10025,2018,Rebel Walker 2018 - Rebel Walker - solo,935,100K,98.9,4330.0,23.2504,0.0,31.9992,171,160,20
10025,2019,Rebel Walker 2019 - Rebel Walker - solo,805,100K,99.7,4440.0,23.8183,11.8592,31.8472,0,171,20
10031,2017,Indomit costa esmeralda ultra-trail® 2017 - 100 MILLES,10,100M,160.9,4440.0,26.8917,24.3556,28.6492,0,1,1
10031,2018,Indomit costa esmeralda ultra-trail® 2018 - 100 MILLES,23,100M,160.3,4730.0,31.7056,0.0,35.4108,9,3,1
10033,2017,San Lorenzo Trail Marathon 2017 - Maratón 45k,42,50K,44.3,3270.0,12.4544,0.0,15.9969,6,5,2
10033,2019,San Lorenzo Trail Marathon 2019 - Maratón 45k,52,50K,44.7,3260.0,11.2353,6.4886,15.1853,0,13,4
10035,2017,San Lorenzo Trail Marathon 2017 - Medio Maratón 20k,109,20K,19.4,1430.0,5.6325,0.0,7.9706,4,28,2
10035,2019,San Lorenzo Trail Marathon 2019 - Medio Maratón 20k,113,20K,19.7,1450.0,5.2536,2.8178,8.165,0,36,3
10037,2017,Stubai ultratrail 2017 - Urban2glacier,101,100K,62.8,5116.0,10.9572,8.4689,12.6908,0,9,8
10039,2017,Bergen Fjellmaraton 2017 - Halfmaraton,50,20K,19.7,720.0,1.8851,1.5914,2.0156,0,2,2
1004,2014,MARATON DE MONTAÑA ISLA DEL MERIDIANO 2014 - MARATON DEL MERIDIANO 42KM,179,50K,42.6,2807.0,6.8304,4.1892,12.2122,0,18,3
1004,2015,MARATON DE MONTAÑA ISLA DEL MERIDIANO 2015 - MARATON DEL MERIDIANO 42KM,260,50K,42.0,2550.0,6.5217,4.0447,9.2578,0,21,5
1004,2016,MARATON DE MONTAÑA ISLA DEL MERIDIANO 2016 - MARATON DEL MERIDIANO 42KM,316,50K,42.0,2550.0,6.4786,3.9058,9.6119,0,23,7
10049,2017,Mill Stone Half Marathon 2017,104,20K,21.0,500.0,2.2661,1.4139,3.5858,0,40,1
10051,2017,Ultra Trail Victoria 2017,60,50K,50.9,2370.0,7.7407,4.5978,10.3194,0,20,2
10053,2017,QUEEN of the JUNGLE 2017,14,100K,139.8,7410.0,33.525,0.0,36.0,2,12,6
10055,2017,Big basin 2017 - marathon,98,50K,42.0,1000.0,5.9341,3.26,9.7139,0,38,3
10055,2018,Big basin 2018 - marathon,105,50K,42.0,1000.0,5.9618,3.7333,8.8911,0,48,2
10057,2017,Vychodniarska stovka 2017,34,100M,131.5,5100.0,27.0844,19.1619,31.7431,0,2,5
10057,2018,Vychodniarska stovka 2018,67,100M,130.6,5470.0,28.1102,0.0,39.2333,23,10,4
10057,2019,Vychodniarska stovka 2019,59,100M,130.5,5710.0,26.1461,15.7025,34.5058,0,9,3
10057,2023,Vychodniarska stovka 2023,76,100K,105.0,5610.0,21.2743,0.0,28.7744,16,15,6
10059,2017,RIAÑO TRAIL RUN 2017 - RIAÑO OPEN,76,50K,48.8,2820.0,7.8187,4.8311,9.9586,0,19,5
10059,2018,Riaño Trail Run 2018 - RIAÑO OPEN,76,50K,45.6,2950.0,8.1667,5.5347,10.025,0,14,4
10059,2019,Riaño Trail Run 2019 - RIAÑO OPEN,91,50K,45.7,2940.0,7.6927,0.0,10.1258,4,15,4
1006,2016,Trail De Mirmande 2016 - 45 Km,76,50K,48.3,2040.0,6.609,4.6036,9.2503,0,6,1
1006,2017,Trail De Mirmande 2017 - 45 Km,112,50K,46.2,2290.0,6.0061,4.0825,8.1669,0,10,1
1006,2018,Trail De Mirmande 2018 - 45 Km,100,50K,46.2,2290.0,6.1733,4.1989,8.2461,0,14,3
10061,2017,RIAÑO TRAIL RUN 2017,95,100K,100.0,7410.0,17.5831,12.4269,23.4797,0,24,8
10061,2018,Riaño Trail Run 2018,93,50K,91.6,6760.0,16.4887,10.9253,21.6056,0,12,5
10061,2019,Riaño Trail Run 2019,140,50K,91.4,6930.0,15.9369,0.0,22.7056,24,30,12
10061,2021,Riaño Trail Run 2021 - RIAÑO 3xTRAIL RUN,94,50K,88.8,6750.0,18.3134,12.2281,30.8122,0,12,8
10061,2022,Riaño Trail Run 2022 - RIAÑO 3xTRAIL RUN,137,50K,81.3,6156.0,15.8552,9.9911,20.6539,0,20,9
10061,2023,Riaño Trail Run 2023 - RIAÑO 3xTRAIL RUN,96,50K,81.0,6157.0,16.1806,10.3833,21.475,0,25,8
10065,2017,Desafíos Urku 2017 - San Antonio Trail 21K,79,20K,23.5,800.0,3.353,2.0578,4.8358,0,22,1
10065,2018,Desafíos Urku 2018 - San Antonio Trail 21K,55,20K,23.4,810.0,3.3065,2.17,4.4625,0,11,1
10065,2019,Desafíos Urku 2019 - 21K,87,20K,23.1,800.0,3.9988,2.2089,6.8883,0,28,3
10065,2021,Desafíos Urku 2021 - San Antonio Hard Trail 21K,56,20K,23.1,800.0,3.2192,2.1017,4.5667,0,19,1
10065,2022,San Antonio Hard Trail 2022 - San Antonio Hard Trail 21K,53,20K,23.0,955.0,3.2673,0.0,4.8622,2,18,1
10067,2018,Ultra Trail du Périgord et de la rivière Dordogne 2018 - TRAIL DES BASTIDES,197,50K,44.5,1110.0,5.3056,0.0,8.0378,17,20,2
10071,2018,Ultra Trail du Périgord et de la rivière Dordogne 2018 - LE DUO DES BASTIDES,34,50K,44.5,1110.0,5.7543,4.0806,8.9964,0,10,1
10073,2017,DEL MAR A LA CIMA 2017 - 24K,328,20K,24.0,690.0,4.4162,2.0506,7.5164,0,145,11
10073,2018,MERRELL DEL MAR A LA CIMA 2018 - 24K,450,20K,24.0,850.0,5.7302,2.3461,12.4044,0,194,10
10073,2019,MERRELL DEL MAR A LA CIMA 2019 - 24K,529,20K,24.4,750.0,4.8544,0.0,10.1172,13,208,11
10073,2021,DEL MAR A LA CIMA 2021 - 24 km Del Mar A La Cima,448,20K,24.5,760.0,4.8852,1.9236,12.0886,0,189,6
10073,2022,DEL MAR A LA CIMA 2022 - 24 km Del Mar A La Cima,351,20K,23.5,722.0,4.0171,1.9292,8.6131,0,143,9
10075,2018,110 k utacch 2018 - 110k UTACCH,147,100K,106.2,3500.0,21.7037,14.2469,29.8261,0,23,3
10075,2019,110 k utacch 2019 - 110k UTACCH Bonus ,68,100K,118.6,4140.0,20.3597,15.1983,25.7586,0,9,4
10075,2021,UTACCH - ULTRA TRAIL AMANECER COMECHINGON  2021 - 110K,129,100K,110.0,4140.0,20.496,13.8133,26.8419,0,26,2
10075,2022,UTACCH - ULTRA TRAIL AMANECER COMECHINGON  2022 - 110K,117,100K,110.0,4140.0,20.3439,12.7703,28.2983,0,15,2
10081,2018,JMUT Jerusalem Mountain Ultra Tour 2018 - JMUT Promise,120,20K,19.2,800.0,3.4236,0.0,5.2439,9,27,1
10083,2018,JMUT Jerusalem Mountain Ultra Tour 2018 - JMUT Adventure,123,20K,34.5,1480.0,4.6003,0.0,5.4522,108,23,3
10085,2018,JMUT Jerusalem Mountain Ultra Tour 2018 - JMUT Challenge,92,50K,67.0,2580.0,9.2575,0.0,9.8583,86,8,6
10089,2017,Course du Pic du Cabaliros 2017,97,20K,20.0,1290.0,2.4983,1.6336,4.2658,0,14,3
10089,2018,Course du Pic du Cabaliros 2018,100,20K,21.8,1480.0,3.0789,1.9267,4.5353,0,12,5
10089,2019,Course du Pic du Cabaliros 2019,80,20K,21.8,1470.0,3.1297,2.0944,4.84,0,7,2
1009,2015,Lycian Way Ultra Marathon 2015,22,100M,257.0,8294.0,47.2198,33.4781,67.5486,0,5,7
1009,2016,Lycian Way Ultra Marathon 2016,13,100M,253.5,7919.0,47.8462,33.6742,70.1575,0,4,4
1009,2017,Lycian Way Ultra Marathon 2017,16,100K,227.6,6180.0,44.2516,0.0,57.8442,3,6,3
10091,2017,Teufelstisch Trail 2017,209,-,10.8,340.0,1.0858,0.6983,1.5889,0,51,3
10095,2017,PACHAMAMA TRAIL 2017 - Trail 60km,27,50K,60.8,3740.0,13.7597,9.6928,17.5806,0,4,1
10095,2018,PACHAMAMA TRAIL 2018 - 60km,14,50K,61.3,3650.0,13.707,10.0097,17.4128,0,3,1
10097,2017,PACHAMAMA TRAIL 2017 - Trail 25km,61,20K,23.5,1350.0,3.8599,2.1714,6.3778,0,13,1
10097,2018,PACHAMAMA TRAIL 2018 - 21km,81,20K,22.7,1420.0,4.0522,2.1969,6.8256,0,24,3
10099,2017,PACHAMAMA TRAIL 2017 - Trail  10km,182,-,10.9,620.0,2.3752,1.1764,4.3839,0,83,5
1010,2014,FESTA TRAIL Pic Saint-Loup 2014 - Ultra Draille,99,100M,118.7,5130.0,22.6533,13.7497,27.6044,0,4,6
1010,2015,FESTA TRAIL PIC SAINT-LOUP 2015 - Ultra Draille,131,100K,119.7,4820.0,22.0466,13.8608,28.6853,0,8,4
1010,2016,FESTA TRAIL PIC SAINT-LOUP 2016 - Ultra Draille,131,100K,119.7,4820.0,23.1778,14.8125,29.6564,0,10,2
1010,2017,Festa Trail Pic Saint-Loup 2017 - Ultra Draille,95,100K,119.7,4830.0,23.3464,15.6353,29.4672,0,4,4
1010,2018,Festa Trail Pic Saint-Loup 2018 - Ultra Draille,189,100M,119.6,6010.0,23.8081,0.0,29.7572,62,21,5
1010,2019,Festa Trail Pic Saint-Loup 2019 - Ultra Draille,171,100M,122.2,4830.0,22.9038,0.0,28.9225,42,7,4
1010,2021,Festa Trail Pic Saint-Loup 2021 - Ultra Draille,80,100M,120.0,5500.0,21.7885,12.6875,29.2503,0,3,4
1010,2022,Festa Trail Pic Saint-Loup 2022 - Ultra Draille,42,100M,115.3,5580.0,25.0247,17.1456,29.8075,0,2,1
10101,2017,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2017 - 112km solo,49,100K,108.3,5560.0,25.93,17.8233,32.9594,0,10,3
10101,2018,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2018 - 100km,74,100K,97.1,5280.0,23.5574,15.0322,28.0328,0,23,1
10101,2019,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2019 - 100km,94,100K,101.1,3880.0,21.5666,12.1192,26.9839,0,27,2
10101,2020,Xiaoxiang 100 Lang Mountain Trailrunning 2020 - 100KM,97,100K,101.1,3880.0,21.4468,10.7592,27.0678,0,27,2
10103,2017,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2017 - 55km solo,46,50K,53.8,1980.0,8.9462,5.8683,12.0497,0,10,4
10103,2018,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2018 - 55km,135,50K,54.0,2240.0,11.8564,7.9106,13.9658,0,30,1
10103,2019,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2019 - 55km,116,50K,54.2,2240.0,10.5099,6.515,13.6111,0,23,6
10103,2020,Xiaoxiang 100 Lang Mountain Trailrunning 2020 - 55KM,145,50K,54.2,2240.0,10.2535,6.31,13.33,0,34,1
10105,2017,Xiaoxiang 100 Lang Mountain Inter Trailrunning 2017 - 55km team,12,50K,53.8,1980.0,10.3002,10.165,10.5106,0,3,1
10107,2017,Montreux Trail Festival 2017 - La freddies's night15,477,20K,14.3,865.0,2.4732,0.0,4.5064,46,236,25
10107,2018,Montreux Trail Festival 2018 - La freddies's night15,415,20K,14.0,990.0,2.308,1.2792,5.0742,0,169,26
10107,2019,Montreux Trail Festival 2019 - Freddie's Night,350,20K,14.3,970.0,2.2882,0.0,3.5928,2,143,18
10107,2021,Montreux Trail Festival 2021 - Freddie's Night,268,20K,14.3,970.0,2.1679,0.0,3.81,5,124,18
10107,2022,Montreux Trail Festival 2022 - Freddie's Night,232,20K,14.1,715.0,2.3984,0.0,4.2378,4,106,15
10107,2023,Montreux Trail 2023 2023 - Freddie's Night,307,20K,15.0,791.0,2.1356,0.0,3.5589,7,117,19
10113,2018,LisaRun53_2018 2018 - Extreme Trail42,99,50K,42.8,1130.0,6.8841,0.0,8.8333,17,6,2
10113,2019,LisaRun53_2019 2019 - Extrem Trail42 2k19,100,50K,43.4,1380.0,6.8311,4.4956,9.2928,0,7,2
10115,2018,Zolkan Corralco Challenge 2018 - 15K,232,20K,17.9,920.0,2.9165,0.0,7.5539,37,103,5
10117,2017,CCT Jiaoxi Ridge Trail 2017 - Senior Section,83,50K,46.0,2440.0,11.4248,7.4292,13.6758,0,19,4
10117,2018,CCT Jiaoxi Ridge Trail 2018 - Senior Section,91,50K,46.6,2560.0,11.0477,6.43,13.9664,0,15,8
10119,2017,CCT Jiaoxi Ridge Trail 2017 - Junior Section,38,20K,30.8,1640.0,8.9566,6.0644,10.9953,0,11,2
10119,2018,CCT Jiaoxi Ridge Trail 2018 - Junior Section,73,20K,31.8,1610.0,8.5755,4.7019,11.0,0,26,4
10123,2017,ANTIOQUIA ULTRA TRAIL 2017 - 120 km,9,100M,118.1,7960.0,31.5302,21.775,46.3303,0,0,3
10123,2018,Antioquia Ultra Trail 2018 - 120K AUT OFICIAL,11,100M,121.8,5980.0,22.5069,16.4797,27.2331,0,2,3
10125,2017,ANTIOQUIA ULTRA TRAIL 2017 - 70 km,17,100K,77.1,5010.0,17.9577,12.0967,21.9756,0,3,3
10125,2018,Antioquia Ultra Trail 2018 - 80K,6,100K,80.4,4120.0,15.7006,9.4214,18.8011,0,1,2
10129,2017,PIKES PEAK ULTRA 2017 - 50k,83,50K,50.0,2750.0,8.1111,5.6356,11.8481,0,30,1
10129,2018,Pikes Peak Ultra 2018 - 50k,96,50K,50.0,2750.0,8.2587,5.1089,11.3778,0,32,2
10129,2019,Pikes Peak Ultra 2019 - 50k,149,50K,50.0,2750.0,8.5532,5.1219,12.9114,0,62,4
10129,2020,Pikes Peak Ultra 2020 - 50k,116,50K,50.0,2750.0,7.8493,4.7106,11.7319,0,33,2
1013,2014,IstraTrek 2014,36,50K,50.0,2000.0,7.0554,4.6139,9.7161,0,9,2
1013,2015,IstraTrek 2015,48,50K,52.5,1340.0,7.7316,5.3492,10.1844,0,10,2
10131,2017,ANTIOQUIA ULTRA TRAIL 2017 - 42 km - ANTIOQUIA ULTRA TRAIL,43,50K,40.7,2650.0,9.2519,5.9306,13.1994,0,11,3
10131,2018,Antioquia Ultra Trail 2018 - 42k Antioquia Ultra Trail,41,50K,41.4,2740.0,10.6764,7.135,14.9992,0,13,2
10133,2017,ANTIOQUIA ULTRA TRAIL 2017 - 21km - ANTIOQUIA ULTRA TRAIL,60,20K,21.5,1100.0,4.851,2.3872,7.2861,0,19,7
10133,2018,Antioquia Ultra Trail 2018 - 21K - AUT OFICIAL,89,20K,22.8,1200.0,6.1268,2.7819,10.9461,0,33,4
10135,2017,ANTIOQUIA ULTRA TRAIL 2017 - 10 km - ANTIOQUIA ULTRA TRAIL,14,-,11.2,230.0,2.8475,1.6044,4.3572,0,8,3
10137,2018,Ultra Trail Oso Negro 2018 - 50K,112,50K,45.8,2520.0,9.3486,5.7292,10.9811,0,23,3
1014,2014,ICE AGE TRAIL 50 2014 - ICE AGE TRAIL 50 MILE,259,50K,81.0,1600.0,10.1874,5.6853,12.0,0,69,7
1014,2015,ICE AGE TRAIL 50 2015 - ICE AGE TRAIL 50 MILE,285,50K,81.0,1600.0,10.187,6.2894,11.9347,0,66,3
1014,2016,ICE AGE TRAIL 50 2016 - ICE AGE TRAIL 50 MILE,297,50K,81.0,1600.0,10.3507,6.6125,11.9869,0,89,2
1014,2017,ICE AGE TRAIL 50 2017 - ICE AGE TRAIL 50 MILE,244,50K,81.0,1600.0,10.5375,7.2228,11.9803,0,68,3
10143,2017,Giir di Mont - WMRA long distance wc 2017 - WMRA long distance wc2017,133,50K,30.3,2940.0,4.3261,0.0,7.5428,10,53,24
10143,2022,Giir di Mont 2022,29,50K,32.0,2400.0,3.7383,3.1914,4.4294,0,9,7
10145,2017,Bolivia Xperience Trail Running Tour 2017 - Laguna Verde 22K,38,20K,21.8,790.0,3.2978,1.865,5.7825,0,15,3
10145,2018,Bolivia Xperience Trail Running Tour 2018 - LAGUNA VERDE 21K,72,20K,21.8,790.0,3.1574,1.8842,5.835,0,26,8
10145,2019,Bolivia Xperience Trail Running Tour 2019 - LAGUNA VERDE 21K,41,20K,21.8,840.0,3.1975,1.7489,4.6714,0,19,1
10149,2017,Ultra Tuffman Beach Championship - Goa 2017 - Goa 160k,2,100K,160.0,320.0,27.5874,22.67,32.5047,0,0,1
10153,2018,Epic Camí de Cavalls 360º 2018 - Experience e3/t2,90,50K,101.3,1770.0,14.61,0.0,20.455,10,32,4
10153,2019,Epic Camí de Cavalls 360º 2019 - Experience e3/t2,132,50K,101.8,2690.0,13.8721,9.7161,20.7033,0,50,5
10153,2021,Epic Camí de Cavalls 360º 2021 - Experience e3/t2 35K,147,20K,35.4,580.0,4.2563,2.7589,7.1314,0,38,6
10153,2022,Epic Camí de Cavalls 360º 2022 - Epic Camí de Cavalls 360º Experience,98,50K,91.7,1496.0,12.5229,7.6267,18.24,0,31,7
10153,2023,Epic Camí de Cavalls 360º 2023 - Epic Camí de Cavalls 360º Experience,126,50K,91.7,1496.0,12.2819,7.1858,22.4892,0,40,7
10155,2017,trail margeride 2017 - sur les pas de la bête,25,50K,47.4,1510.0,5.1032,3.9169,6.3503,0,4,1
10155,2018,trail margeride 2018 - Sur les pas de la bête,40,50K,47.5,1480.0,5.5229,4.1128,8.5228,0,6,1
10155,2019,trail margeride 2019 - Sur les pas de la bête,35,50K,48.2,1550.0,5.2691,3.9481,6.9233,0,4,1
10155,2021,trail margeride 2021 - Sur les pas de la bête,50,50K,48.7,1480.0,5.7715,0.0,7.3175,2,4,1
10155,2022,trail margeride 2022 - Sur les pas de la bête,40,50K,48.7,1480.0,5.3428,0.0,6.51,6,6,1
10155,2023,trail margeride 2023 - Sur les pas de la bête,46,50K,48.7,1480.0,5.7145,3.8531,7.4594,0,8,1
10157,2017,Ultra Tuffman Desert Championship - Jaisalmer 2017 - Half 50KM,7,50K,48.0,730.0,6.4762,5.9167,7.6667,0,0,1
10157,2018,Ultra Tuffman Desert Championship - Jaisalmer 2018 - 50 KM,5,50K,50.0,500.0,6.411,4.8781,7.8822,0,1,2
10159,2017,Ultra Tuffman Desert Championship - Jaisalmer 2017 - 80 Km,4,50K,80.5,150.0,12.2666,11.3833,12.7833,0,0,1
10169,2017,trail margeride 2017 - lou pas del ase,98,20K,23.9,770.0,2.3808,1.8281,3.5758,0,19,2
10169,2018,trail margeride 2018 - lou pas del ase,70,20K,25.7,840.0,2.8148,1.8958,4.3789,0,16,1
10169,2019,trail margeride 2019 - lou pas del ase,56,20K,25.0,800.0,2.5614,1.9886,3.4853,0,9,2
10169,2021,trail margeride 2021 - lou pas del ase,58,20K,25.0,850.0,2.6881,1.8967,3.6728,0,10,1
10169,2022,trail margeride 2022 - lou pas del ase,64,20K,25.0,850.0,2.6928,0.0,4.5006,7,12,1
10169,2023,trail margeride 2023 - lou pas del ase,81,20K,25.0,850.0,2.7849,1.7869,4.3075,0,17,1
10171,2017,NISSAN Action Asia X-Trail TAIWAN 2017 - 26km,75,20K,26.8,1180.0,5.4264,2.8067,6.4869,0,23,10
10171,2018,Action Asia X-Trail TAIWAN 2018 - 26km,58,20K,26.5,1160.0,5.3064,0.0,6.6522,10,12,12
10171,2019,Action Asia X-Trail TAIWAN 2019 - 26km,141,20K,26.5,1160.0,4.9631,2.6139,6.7039,0,35,15
10173,2018,SKY GRAN CANARIA 2018 - TRAILSKY TM36,236,20K,35.7,1370.0,5.4123,3.1014,9.8156,0,36,12
10173,2019,SKY GRAN CANARIA 2019 - TRAILSKY TM36,159,50K,35.8,1480.0,5.2031,3.0594,10.0519,0,23,14
10175,2018,SKY GRAN CANARIA 2018 - ULTRASKY AM72,110,100K,72.8,4580.0,13.0271,8.0681,17.5625,0,15,11
10175,2019,SKY GRAN CANARIA 2019 - ULTRASKY AM72,103,100K,73.1,4580.0,12.982,7.4281,18.2867,0,15,16
10177,2018,SKY GRAN CANARIA 2018 - MINISKY SM18,273,20K,18.4,580.0,2.7334,1.4506,4.7789,0,79,13
10177,2019,SKY GRAN CANARIA 2019 - MINISKY SM18,168,20K,18.5,650.0,2.6851,1.5661,5.3308,0,43,11
10179,2017,Ultra Tuffman Beach Championship - Goa 2017 - Goa 80k,1,50K,80.0,160.0,10.9822,10.9822,10.9822,0,0,1
10179,2018,TUFFMAN BEACH ULTRA & HALF MARATHON GOA 2018 - Goa 80K,9,50K,80.0,160.0,11.3749,0.0,12.5189,4,1,2
10183,2017,Sulur Vertical 2017 - Sulur V,29,20K,28.0,1270.0,3.4016,2.3783,4.1986,0,8,2
10183,2018,Sulur Vertical 2018 - Sulur V,16,20K,28.1,1320.0,4.0051,2.6919,5.3133,0,3,3
10183,2019,Sulur Vertical 2019 - Sulur V,53,20K,28.1,1320.0,3.5222,2.1464,5.1325,0,19,3
10183,2021,Sulur Vertical 2021 - Vertical 28,108,20K,28.0,1450.0,4.3151,0.0,6.3325,1,40,2
10183,2022,Sulur Vertical 2022 - Sulur Vertical 28,102,20K,28.8,1509.0,3.9854,0.0,5.5914,1,35,5
10183,2023,Sulur Vertical 2023 - Súlur 29K,111,20K,29.1,1410.0,4.0703,0.0,6.0067,3,46,5
10185,2017,Ultra Tuffman Beach Championship - Goa 2017 - Goa 50k,13,50K,50.0,100.0,6.7193,5.0217,7.5106,0,3,2
10185,2018,TUFFMAN BEACH ULTRA & HALF MARATHON GOA 2018 - Goa 50K,7,20K,46.5,110.0,6.4123,0.0,7.5394,2,2,1
10187,2018,Gede Pangrango Ultra Marathon 2018 - GPT,45,50K,40.7,3930.0,15.0465,0.0,17.4067,34,5,4
10187,2019,Gede Pangrango Ultra Marathon 2019 - GPT 40Km,22,50K,40.6,3600.0,14.4733,0.0,17.3833,10,3,8
10187,2022,Gede Pangrango Ultra Marathon 2022 - GPT,18,50K,43.0,3950.0,12.741,0.0,16.2172,11,1,4
10187,2023,Gede Pangrango Ultra Marathon 2023 - GPT,6,50K,43.0,3950.0,16.4448,13.53,18.5561,0,2,3
10193,2017,EL VAQUERO LOCO 2017 - 25k,107,20K,25.0,1350.0,4.6803,2.3664,9.5633,0,63,1
10193,2018,EL VAQUERO LOCO 2018 - 25k,115,20K,25.0,1350.0,4.7599,2.4958,8.2675,0,64,1
10193,2019,EL VAQUERO LOCO 2019 - 25k,108,20K,25.0,1350.0,5.3814,2.4236,8.8831,0,63,1
10193,2020,EL VAQUERO LOCO 2020 - 25k,93,20K,25.0,1500.0,6.191,3.1369,9.3197,0,47,1
10195,2016,Standhope Ultra Challenge 2016 - 30k,52,20K,30.0,1500.0,5.1259,0.0,7.8569,8,19,1
10195,2017,Standhope Ultra Challenge 2017 - 30k,52,20K,30.0,1500.0,5.634,2.9361,10.1536,0,26,1
10195,2018,Standhope Ultra Challenge 2018 - 30k,50,20K,30.0,1500.0,5.6911,3.6975,9.7739,0,19,1
10197,2017,Orcas island 50 miler 2017 - Orcas 50 miler,47,100K,81.1,3780.0,11.6464,0.0,14.0278,17,8,3
102,2017,Trail d'Ecouves et du Pays d'Alençon 2017 - Trail long,94,50K,58.4,1560.0,7.6949,5.6886,9.6017,0,6,1
102,2018,Trail d'Ecouves et du Pays d'Alençon 2018 - Trail long,166,50K,60.7,1600.0,8.2315,5.6489,10.0347,0,15,2
102,2019,Trail d'Ecouves et du Pays d'Alencon 2019,155,50K,61.8,1630.0,8.785,0.0,11.37,21,11,2
10201,2017,Orcas island 50 miler 2017 - Halfmarathon,178,20K,21.3,1000.0,3.3836,0.0,6.7364,2,103,2
10203,2017,Trаіl dеs Féеs 2017 - 48km,31,20K,32.0,1500.0,6.2271,4.7561,8.3989,0,4,4
10205,2017,Trаіl dеs Féеs 2017 - 32km,30,20K,32.0,950.0,3.2921,2.6889,3.5969,0,2,3
10207,2017,Trаіl dеs Féеs 2017 - 16km,697,-,16.0,386.0,2.3051,1.1664,4.0161,0,330,5
10209,2018,Gozo Ultra Trail 2018,86,50K,50.4,1370.0,7.5679,0.0,10.5219,1,22,15
10209,2019,Gozo Ultra Trail 2019 - 50km trail,116,50K,52.0,1690.0,7.4108,0.0,10.4742,7,22,19
10209,2020,XTERRA Malta Gozo Ultra Trail 2020 - 50k Trail,74,50K,52.0,1690.0,7.6774,0.0,10.3544,5,11,15
10209,2021,XTERRA Malta Gozo Ultra Trail 2021 - 50k Trail,114,50K,52.2,1450.0,7.1513,0.0,12.8992,5,24,24
10209,2022,XTERRA GOZO Trails 2022,97,50K,52.0,2200.0,7.0949,0.0,11.3836,3,17,15
10209,2023,XTERRA GOZO Trails 2023,140,50K,52.0,2200.0,7.3861,0.0,9.9928,19,31,27
10211,2017,Walser Trail Challenge 2017 - Walser Trail,341,20K,28.2,1760.0,5.5877,3.2333,8.6994,0,102,5
10211,2018,Walser Trail Challenge 2018 - Walser Trail,403,20K,28.5,1860.0,5.5563,3.2544,9.4742,0,105,12
10211,2023,Walser Trail Challenge 2023 - Walser Trail,327,20K,28.0,1554.0,5.1264,0.0,8.4328,9,101,12
10213,2017,Walser Trail Challenge 2017 - Widderstein Trail,466,20K,15.1,980.0,2.3137,1.3428,3.7236,0,125,9
10213,2018,Walser Trail Challenge 2018 - Widderstein Trail,444,20K,15.3,960.0,2.3239,1.4164,3.695,0,113,12
