Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
3666,2016,Monument Valley 2016 - 50 Km,190,50K,53.2,930.0,8.0365,4.1539,12.9381,0,103,3
3666,2017,Monument Valley 2017 - 50 Km,261,50K,50.0,1120.0,8.1356,4.32,10.9972,0,132,4
3666,2019,Monument Valley 2019 - 50 Km,97,50K,50.0,1120.0,7.6975,4.2344,12.3058,0,42,5
3666,2020,Monument Valley 2020 - 50 Km,126,50K,50.0,1120.0,8.4177,4.5667,12.5364,0,51,6
36660,2022,Cuesta X Trail 2022 - CXT-10,101,-,11.8,208.0,2.0972,0.0,2.9422,1,56,2
36660,2023,Cuesta X Trail 2023 - CXT-13,220,-,13.0,250.0,2.2378,1.09,3.6672,0,116,2
36662,2022,Ultra Run Raramouri 2022,27,100M,190.0,10000.0,42.1365,0.0,58.9333,10,4,5
36664,2023,ȘIRIA WINTER TRAIL 2023 - ȘIRIA WINTER TRAIL 24KM,134,20K,24.7,1183.0,3.2621,1.9603,4.8317,0,25,3
36664,2024,ȘIRIA WINTER TRAIL 2024 - ȘIRIA WINTER TRAIL 24KM,152,20K,24.7,1183.0,3.0568,0.0,5.5936,1,19,3
36666,2023,ȘIRIA WINTER TRAIL 2023 - Șiria Winter Trail 15KM,141,20K,15.7,769.0,2.0915,1.2217,3.28,0,43,4
36666,2024,ȘIRIA WINTER TRAIL 2024 - Șiria Winter Trail 15KM,148,20K,15.7,769.0,2.0037,1.1964,2.9381,0,45,2
36668,2023,ȘIRIA WINTER TRAIL 2023 - ȘIRIA WINTER TRAIL 6KM,58,-,6.0,200.0,0.879,0.5117,1.3742,0,29,2
36668,2024,ȘIRIA WINTER TRAIL 2024 - ȘIRIA WINTER TRAIL 6KM,127,-,6.0,200.0,0.8651,0.5325,1.2372,0,66,3
3667,2015,Monument Valley 2015 - Half Marathon,44,20K,25.0,600.0,3.0906,1.7192,8.6497,0,20,1
3667,2016,Monument Valley 2016 - Half Marathon,277,20K,25.0,600.0,3.2483,1.7078,6.3836,0,182,2
3667,2020,Monument Valley 2020 - Half Marathon,253,20K,25.0,400.0,2.9997,1.3767,8.4561,0,147,2
36670,2022,Trail Noble-Contrée 2022,92,20K,27.0,1450.0,3.7858,0.0,5.4839,5,24,9
36670,2023,Trail Noble-Contrée 2023,137,20K,27.0,1450.0,3.7382,0.0,6.25,4,41,11
36670,2024,Trail Noble-Contrée 2024,189,20K,27.0,1450.0,3.4371,0.0,5.2256,2,49,11
36672,2023,Trail Noble-Contrée 2023 - Le Combiné,12,20K,38.0,1800.0,4.498,3.3,5.8097,0,3,3
36672,2024,Trail Noble-Contrée NaN - Le Combiné,12,20K,38.0,1800.0,4.4931,3.0508,6.0214,0,4,2
36676,2022,WAI2K 2022 - WAI2K 100,5,100K,100.0,4500.0,15.5601,0.0,17.3561,1,1,2
36678,2022,WAI2K 2022 - WAI2K 60,10,50K,60.0,3200.0,10.6238,0.0,15.9678,3,1,3
3668,2014,Kodiak Ultra Marathon 2014 - KODIAK 50 MI,48,100K,80.5,2600.0,13.0861,8.7333,17.4667,0,14,3
3668,2015,KODIAK 100 2015 - KODIAK 50 MI,52,100K,80.5,2600.0,13.6516,9.7833,17.4167,0,9,6
3668,2016,Kodiak Ultra Marathons 2016 - Kodiak 50 Miler,53,100K,81.1,2310.0,14.0261,10.0167,17.3333,0,14,6
3668,2017,Kodiak Ultra Marathons 2017 - Kodiak 50 Miler,50,100K,81.1,2310.0,13.6847,9.3333,15.9667,0,17,3
3668,2018,Kodiak Ultra Marathons 2018 - Kodiak 50 Miler,126,100K,79.6,2580.0,13.5406,0.0,15.9167,25,23,9
3668,2019,Kodiak Ultra Marathons 2019 - Kodiak 50 Miler,134,100K,83.8,2860.0,13.9744,0.0,15.9892,38,30,6
36680,2022,WAI2K 2022 - WAI2K 46,37,50K,46.0,2200.0,8.7888,0.0,12.2792,10,12,3
36680,2023,WAI2K 2023 - WAI2K 50,29,50K,50.0,2200.0,8.0859,6.1475,10.6122,0,5,6
36682,2022,WAI2K 2022 - WAI2K 84,2,100K,84.0,4000.0,13.7589,11.3325,16.1853,0,0,2
36688,2023,LES COURSES DES CUIRASSIERS 2023 - LE TRAIL DES CUIRASSIERS,99,20K,25.2,892.0,2.8378,1.8411,4.0231,0,23,1
36692,2023,LES COURSES DES CUIRASSIERS 2023 - LE COMBINE DES CUIRASSIERS,39,20K,36.4,1047.0,3.8495,2.9594,4.8711,0,9,1
36696,2022,Challenge du Montcalm 2022 - PICaPICA,164,100M,109.0,11500.0,41.3482,0.0,53.0167,75,13,6
36696,2023,Challenge du Montcalm 2023 - PICaPICA,218,100M,109.9,11440.0,41.3113,0.0,54.6828,102,19,14
36698,2021,Challenge du Montcalm 2021 - PicAriège,200,100K,70.0,7000.0,22.9028,0.0,29.7397,67,16,10
